frame,energy,REF_energy
189,-697.6409319840479,-697.640839348875
190,-697.5622404146175,-697.5549637863334
191,-697.6065283330366,-697.6062369097857
192,-697.5918912267383,-697.585381228
193,-697.5639298697361,-697.569579858
194,-697.6330315467974,-697.6357194495
195,-697.6051881762719,-697.5959898766667
196,-697.5328949752484,-697.5327708168334
197,-697.5493976725579,-697.5476755056667
198,-697.6195423205237,-697.619304543375
199,-697.6405074585872,-697.6408614253334
200,-697.5456590638862,-697.547229067875
201,-697.6082123263858,-697.610937092875
202,-697.5829736637519,-697.5824176604444
203,-697.5810721989081,-697.5627666331667
204,-697.6261885750882,-697.642060951375
205,-697.6008489808044,-697.5999635771
206,-697.5305367564026,-697.5304317732727
207,-697.5264574450156,-697.5312045408889
208,-697.6252294888803,-697.623106797375
209,-697.6422996320408,-697.6440472185
210,-697.5596688264154,-697.5536023568334
211,-697.6106254185116,-697.6116647148
212,-697.5936918100506,-697.592907062875
213,-697.5972844576704,-697.5853192706667
214,-697.6410630626411,-697.6405782505
215,-697.6061265587911,-697.6065104896667
216,-697.5367540584937,-697.5336416628888
217,-697.5359546469623,-697.5370875123334
218,-697.6235450421942,-697.6241559972
219,-697.6415858796469,-697.641928481625
220,-697.5473652871912,-697.547360852
221,-697.609596152718,-697.6097479868334
222,-697.5729032249317,-697.57385574175
223,-697.5544885328645,-697.556003926
224,-697.6404895606852,-697.6411918806666
225,-697.6045448030185,-697.5948229358333
226,-697.560384691594,-697.5319431187144
227,-697.5378148840746,-697.5341728738334
228,-697.6264391670334,-697.6282652075
229,-697.6428537376556,-697.6432712275
230,-697.5467859522973,-697.5457326764999
231,-697.6078773663115,-697.606363171625
232,-697.5766317360404,-697.5760890376667
233,-697.5507135183806,-697.5571708566666
234,-697.6420291722233,-697.6409525891667
235,-697.6004815841667,-697.5999130358571
236,-697.5245148633339,-697.5242362761904
237,-697.5430281822364,-697.5326246127142
238,-697.618256714271,-697.6179078125
239,-697.6419214165711,-697.64323224775
240,-697.5542266734074,-697.5500341145714
241,-697.610773739249,-697.61111045175
242,-697.5890502546745,-697.589518536
243,-697.5694471646599,-697.5591765076666
244,-697.6398820225087,-697.6364001783332
245,-697.5933763455891,-697.599264347
246,-697.5312543469794,-697.531583405125
247,-697.5322566412059,-697.5330478025
248,-697.6272210285783,-697.6274484401666
249,-697.6416895863276,-697.643647324
