frame,energy_per_atom,REF_energy_per_atom,volume,lattice
483,,-697.499816725,236.975647964,6.493886 0 0 -3.246943 5.62387 0 0 0 6.488791
484,,-697.572234991,212.698762222,4.422922 0 0 -2.211461 3.830363 0 0 0 12.554972
485,,-697.584043504,259.710733483,3.29164 0 0 0 9.659589 0 0 0 8.16806
486,,-697.565425465,207.792677308,4.421401 0 0 -2.210701 3.829046 0 0 0 12.27382
487,,-697.629130917,268.815181377,6.882273 0 0 -3.441137 5.960223 0 0 0 6.55329
488,,-697.425557784,336.687295443,6.877453 -0.489778 0 -3.552285 5.909357 0 0 0 8.654868
489,,-697.54777847,256.277594583,3.480886 0 0 0 6.063964 0 0 0 12.141273
490,,-697.521666781,476.249146123,8.257215 -0.275191 -0.370179 -2.115183 7.986447 -0.370179 -2.115183 -2.655589 7.541101
491,,-697.649983857,542.649014496,6.418681 0 0 0 6.611633 0 0 0 12.786877
492,,-697.606277652,204.110383522,5.180055 -0.070609 0.339167 1.1723 5.046154 0.339167 1.065744 0.834755 7.897703
493,,-697.628655881,268.389991791,6.873846 0 0 -3.436923 5.952925 0 0 0 6.558977
494,,-697.545366165,190.84524402,5.607261 -1.055438 0 -1.882489 5.386238 0 0 0 6.763918
495,,-697.621971718,198.570568416,3.372805 -0.45982 0.397139 -0.63769 7.26158 -0.839505 -1.364108 -2.602836 8.342358
496,,-697.552222867,190.224084448,4.149995 -3e-06 0 -2.074993 5.90138 -0.165359 -2e-06 -2.678781 7.84226
497,,-697.498739984,245.718329557,5.641345 0 0 0 6.621903 -0.260997 0 -2.36321 6.670814
498,,-697.554011282,291.24954475,9.348466 0 0 0 5.997871 0 0 -2.998936 5.194309
499,,-697.641905659,202.508549672,6.579037 -0.573748 -1.429825 -2.415015 5.830886 0.467206 -1.901409 -1.291167 5.904935
500,,-697.580314791,385.620276187,6.420348 0 0 0 6.420348 0 0 0 9.354977
501,,-697.57132739,213.252079103,4.435557 0 0 -2.217778 3.841305 0 0 0 12.516022
502,,-697.544896506,221.054453832,4.794585 0 0 0 6.790068 0 0 0 6.790068
503,,-697.431971859,177.374898205,3.644508 0 0 -1.822254 3.156236 0 0 0 15.419979
504,,-697.551930175,190.452072007,4.13924 -3e-06 0 -2.069615 5.894239 -0.18124 -2e-06 -2.697669 7.88911
505,,-697.637086102,280.252125249,6.484051 0.001771 -0.222783 0.028041 6.566109 0.832367 0.220072 2.489021 6.890884
506,,-697.490595418,262.184802701,5.371815 0 0 -2.685907 4.652128 0 0 0 10.491433
507,,-697.59121549,263.73171603,6.54085 -0.426645 -0.327562 1.87781 6.280014 -0.327562 1.87781 1.305613 6.151524
508,,-697.621277312,401.381866018,3.284158 -0.051246 0 0.221086 10.347528 0 0 0 11.807347
509,,-697.672028174,431.98752218,4.53089 0 0.652603 0 6.813375 0 -1.967818 0 13.710036
510,,-697.562764683,365.539210005,5.555235 0 0 0 8.197215 0.169402 0 -1.843034 7.989133
511,,-697.647632165,417.077803956,4.296815 0 0.584008 0 6.607094 0 -1.987126 0 14.421207
512,,-697.606891305,271.435073088,3.351931 0 0 0 9.334631 0 0 0 8.675085
513,,-697.580441044,254.842274721,6.685284 0 0 -3.342642 5.789626 0 0 0 6.584171
514,,-697.618385994,406.30828552,6.519756 0 0 0 6.677086 -2e-06 0 -3.33854 9.333347
515,,-697.640397922,412.382611498,4.266175 0 0.558934 0 6.581203 0 -1.926599 0 14.435374
516,,-697.549074391,255.714697485,3.503638 0 0 0 6.035236 0 0 0 12.093227
517,,-697.636086575,272.386723064,6.334055 -1.10249 -0.846451 1.172254 6.321515 -0.846451 1.172254 0.815051 6.32564
518,,-697.609119796,461.847524396,8.309021 0.494669 0.392309 2.923449 7.793457 0.392309 2.923449 2.157131 7.499244
519,,-697.495693044,232.127906621,6.773799 0 0 -3.386899 5.866282 0 0 0 5.841604
520,,-697.51404976,195.280670448,6.281429 1.2399 1.121106 1.933008 6.103866 1.121106 1.933008 1.728123 5.960508
521,,-697.506787264,244.70312121,5.580412 0 0 0 6.616839 -0.304732 0 -2.405478 6.737869
522,,-697.572034455,409.084243443,6.345196 -0.315413 0.035635 -3.250832 5.458304 -0.035635 -1.523521 -2.585682 12.172167
523,,-697.581069476,255.129206263,6.688404 0 0 -3.344202 5.792328 0 0 0 6.585436
524,,-697.53996247,298.266261158,9.301251 0 0 0 6.085077 0 0 -3.042538 5.269831
525,,-697.61449793,223.510111363,6.302201 0.15167 0.124291 1.6882 6.073773 0.124291 1.6882 1.315302 5.930948
526,,-697.570969751,258.077042949,6.606788 -0.206369 -0.158442 2.10726 6.265117 -0.158442 2.10726 1.465147 6.093451
527,,-697.550386812,363.095740819,7.120385 -0.601457 0 -3.761901 6.075338 0 0 0 8.856831
528,,-697.670012129,437.294893551,4.476937 0 0.672919 0 6.844409 0 -2.087546 0 13.957326
529,,-697.645341097,415.512764021,4.286525 0 0.575663 0 6.598016 0 -1.967291 0 14.427284
530,,-697.489422678,352.629150687,5.986822 -0.308794 0.046586 -3.077118 5.144778 -0.046586 -1.417976 -2.44018 11.813484
531,,-697.486379344,182.625340786,6.057792 1.034288 0.935194 1.703728 5.904567 0.935194 1.703728 1.523145 5.780876
532,,-697.613053291,474.165386551,6.47667 0 0 0 9.194407 0 0 -4.597204 7.96259
533,,-697.610884983,466.107932198,8.341727 0.508478 0.40326 2.94629 7.820635 0.40326 2.94629 2.173985 7.523214
534,,-697.639289856,416.876330409,5.641538 0 0 0 9.237183 0 0 -4.618591 7.999635
535,,-697.629031866,268.941740431,6.884123 0 0 -3.442062 5.961826 0 0 0 6.552851
536,,-697.601785718,264.243844594,6.439279 -0.652916 -0.501284 1.630331 6.263596 -0.501284 1.630331 1.133545 6.180533
537,,-697.552872059,253.898417572,7.180751 0 0 0 5.946276 0 0 0 5.946276
538,,-697.621772683,433.930479893,3.288634 0 0 0 12.343462 0 0 -6.171731 10.689752
539,,-697.61319015,260.112078824,3.279652 0 0 0 6.6119 0 0 0 11.995172
540,,-697.556242814,377.509064119,6.378025 0 0 0 6.378025 0 0 0 9.280149
541,,-697.643329032,202.479918002,6.725076 0.510095 0.186251 3.363897 5.867516 -0.077726 2.681903 1.964927 5.385258
542,,-697.555861774,216.718182739,3.328666 0 0 0 8.670562 0 0 -4.335281 7.508927
543,,-697.433524629,395.352655831,6.433655 0 0 0 7.83715 0.210552 0 -0.380999 7.830715
544,,-697.421000587,327.562513427,5.428702 0 0 -2.714351 4.701394 0 0 0 12.834281
545,,-697.557751497,187.731495621,5.659831 -2e-06 0 2.829917 5.854835 0.640847 2.829916 1.321898 5.809938
546,,-697.657921858,281.572303377,6.536094 0.642425 0 -0.58328 6.477725 0 0 0 6.592079
547,,-697.635578817,279.309808945,6.392356 0 0 0 6.589629 0.349771 0 -0.950426 6.580327
548,,-697.606672307,277.957354143,6.560949 0 0 0 5.183708 0 0 0 8.172802
549,,-697.507190601,253.593168747,5.517089 -0.698348 0.019393 -1.879315 5.233941 0.019393 0.25194 0.31412 9.202944
550,,-697.595793278,266.776049473,3.509198 0.224074 -0.061318 1.454921 7.322982 -0.413681 1.660815 2.291716 10.368283
551,,-697.560845747,198.370111446,3.402038 0 0 0 6.921509 -1.022749 0 -1.431948 8.635938
552,,-697.548522352,194.226282614,5.997373 -0.68711 0 -2.341994 5.563782 0 0 0 6.115655
553,,-697.595682332,266.07316008,6.509883 0 0 0 5.181861 0 0 0 7.88755
554,,-697.536312806,512.881344733,6.016566 0 0 -3.008283 5.210499 0 0 0 16.360211
555,,-697.441239305,306.728273561,6.466725 -0.090511 0 -3.150227 7.007527 0 0 0 6.811549
556,,-697.550344403,394.902768239,4.907103 0 0 0 7.050149 0 0 0 11.414758
557,,-697.613621095,206.830423341,6.500085 0.551861 0.333346 3.382613 6.086855 -0.148855 2.855363 1.905741 5.54045
558,,-697.540255314,191.915767594,5.941623 -0.559456 0 -2.203826 5.546082 0 0 0 6.050349
559,,-697.572260329,194.436265116,6.232503 -0.145132 -0.214588 -1.830505 5.959396 -0.214588 -1.830505 -2.417774 5.45113
560,,-697.60737951,485.710658621,6.601462 0 0 3.300731 9.186193 0.425687 3.300731 4.158404 8.202136
561,,-697.253115875,181.310289843,4.686617 0 0 0 6.188637 0 0 0 6.251266
562,,-697.530564906,425.329610629,7.658197 0 0 -3.829098 6.632193 0 0 0 8.374173
563,,-697.543452545,359.416697655,5.557653 0 0 -2.778826 4.813069 0 0 0 13.436456
564,,-697.610914365,266.314755451,5.976239 -0.111299 0 -1.742865 6.523987 0 0 0 6.86468
565,,-697.620432658,266.69262826,3.294296 0 0 0 6.58735 -0.328359 0 -0.898645 12.334392
566,,-697.479135705,475.036490105,5.727154 0 0 -2.863577 4.959861 0 0 0 16.72317
567,,-697.515511394,194.453643994,6.459488 0.94765 0.775584 2.510448 6.026664 0.775584 2.510448 1.951926 5.75432
568,,-697.642198164,267.290050908,3.358258 0 0 0 8.824479 0.632593 0 -0.742763 8.966196
569,,-697.640778995,270.586648643,6.293468 0 0 0 6.360431 0.230937 0 -0.342947 6.747285
570,,-697.624002329,273.889123845,6.437499 -0.713014 -0.577715 0.996009 6.399824 -0.577715 0.996009 0.76197 6.38051
571,,-697.537255563,521.652632903,5.969053 0 0 -2.984527 5.169352 0 0 0 16.905961
572,,-697.361796963,378.337302207,4.272836 0 0 0 8.744409 0 0 0 10.125873
573,,-697.513131381,347.110595204,5.509369 0 0 -2.754685 4.771254 0 0 0 13.20485
574,,-697.594463858,388.984491584,6.00698 0 0 0 8.647145 0 0 -4.323573 7.488647
575,,-697.609707184,265.455839592,5.987843 -0.116217 0 -1.749175 6.488853 0 0 0 6.868029
576,,-697.586636711,223.118389923,3.233021 -0.05902 -0.003443 -0.093081 4.420144 0.451949 -1.76401 0.383917 15.656997
577,,-697.64024007,277.663785443,6.518624 0 0 0 6.518624 0 0 0 6.534425
578,,-697.386648787,254.217926223,5.797448 0 0 -2.898724 5.020738 0 0 0 8.73377
579,,-697.549567362,191.590447613,5.976033 -0.70595 0 -2.354091 5.538014 0 0 0 6.095107
580,,-697.533970556,426.304504473,7.679572 0 0 -3.839786 6.650705 0 0 0 8.346708
581,,-697.677831604,289.691973439,6.514987 0 0 0 6.635072 0.460206 0 -0.829142 6.644072
582,,-697.618590507,409.320561152,5.416426 0 0 0 9.341359 0 0 -4.670679 8.089854
583,,-697.63729925,267.927312327,3.348771 0 0 0 8.6096 0.654346 0 -0.636842 9.244441
584,,-697.546554979,252.328763154,5.593284 0 0.103559 0 5.48529 0 -0.080129 0 8.222842
585,,-697.63488619,271.456048526,6.424926 -0.610023 -0.522089 0.573505 6.428289 -0.522089 0.573505 0.476794 6.431807
586,,-697.567674853,325.933413222,7.567915 -1.382108 0 -3.461931 6.870124 0 -2.052992 -2.744008 6.904235
587,,-697.508628597,182.285737412,3.38212 0 0 0 6.295421 -0.698655 0 -1.309122 8.706568
588,,-697.580603003,443.477992853,6.623919 0 0 0 8.792517 0 0 -4.396258 7.614543
589,,-697.663361881,285.253460454,4.521329 0 0.487896 0 6.667634 0 -0.899356 0 9.365171
590,,-697.598104837,272.573595541,5.326649 0 0.579083 0 6.529842 0 -0.857047 0 7.743415
591,,-697.589205154,194.783668252,6.285314 -0.191698 -0.28344 -1.889651 5.997594 -0.28344 -1.889651 -2.495897 5.46095
592,,-697.54402683,241.529351568,5.560585 0 0.125574 0 6.524477 0 -0.098784 0 6.655155
593,,-697.410469535,294.438962738,6.082178 0 0 0 7.476576 0 0 -3.738288 6.474905
594,,-697.558818668,251.320935669,5.624453 0 0.09575 0 5.605384 0 -0.128188 0 7.969372
595,,-697.642849872,208.192391361,3.2591 -0.296438 -0.169359 0.606514 6.47044 0.07776 0.446456 -0.177297 9.76369
596,,-697.494034871,413.20467597,7.064484 0 0 0 8.218207 0 0 -4.109103 7.117176
597,,-697.610417348,419.187643885,6.174429 0 0 0 8.85402 0 0 -4.42701 7.667807
598,,-697.628663885,414.666234797,5.824807 0 0 0 9.066575 0 0 -4.533287 7.851884
599,,-697.679957412,291.70579116,4.856393 -0.158875 0.333421 -0.01604 6.540433 0.188948 -0.646304 -0.278134 9.131516
600,,-697.586110579,257.517738814,5.406005 0 0 2.703002 7.26898 0.046907 2.703002 3.103577 6.573285
601,,-697.676570664,291.975883818,4.835346 -0.102938 0.406026 0.026006 6.535254 0.1845 -0.525573 -0.308806 9.185839
602,,-697.620284696,231.277811905,4.382152 0 0 -2.191076 3.795055 0 0 0 13.90684
603,,-697.599915015,275.868041875,4.950203 -0.137826 -0.218549 -2.241646 7.800619 0.362287 -2.241646 -3.034477 7.195336
604,,-697.627797598,265.823315376,3.303806 0 0 0 6.542122 -0.593184 0 -1.409854 12.426553
605,,-697.650413212,282.605069767,4.614994 0 0.426742 0 6.577484 0 -0.984708 0 9.218931
606,,-697.551876652,359.193666585,6.978898 -1.055007 -0.843998 0.950499 6.993898 -0.843998 0.950499 0.711897 7.008576
607,,-697.641528543,416.081451142,5.643238 0 0 0 9.226982 0 0 -4.613491 7.990801
608,,-697.622870729,200.356467231,3.288084 0 0 0 5.606813 -1.907641 0 -2.301945 11.651074
609,,-697.500589031,389.593992226,4.210156 0 0.054957 0 6.59218 0 -0.803469 0 14.026858
610,,-697.530572093,245.07194001,3.655493 0.162636 0.013654 1.176533 6.307824 -0.040137 1.894206 2.375313 10.708107
611,,-697.514492247,196.029321581,6.526933 1.028833 0.842026 2.605749 6.07202 0.842026 2.605749 2.026025 5.785642
612,,-697.592971508,266.966827986,3.536532 0.226881 -0.063188 1.458355 7.285885 -0.409691 1.668217 2.283019 10.349801
613,,-697.604222745,260.642312257,6.768078 0 0 -3.384039 5.861327 0 0 0 6.570276
614,,-697.542166661,358.123721951,5.606193 0 0 0 6.588379 0 0 0 9.695863
615,,-697.627686908,274.098764892,3.322951 0 0 0 6.545214 0 0 0 12.602575
616,,-697.586781418,261.400316078,6.477786 0 0 0 5.178508 0 0 0 7.792465
617,,-697.558327848,291.757381001,6.020515 0 0 -3.010257 5.213919 0 0 0 9.294455
618,,-697.678432097,290.958967139,6.518687 0 0 0 6.665481 0.449262 0 -0.852276 6.638936
619,,-697.669829419,289.181565102,6.71424 0 -1e-06 0 6.552867 0 -3.357119 -3.276433 6.572679
620,,-697.494004969,300.760416481,7.358113 -1.384034 0 -3.404562 6.668308 0 -1.976775 -2.642137 6.780888
621,,-697.489185252,418.478341859,6.343843 0 0 -3.171922 8.301575 -0.647669 0 -3.886668 8.249439
622,,-697.625375853,268.599994431,3.332654 0 0 0 8.495622 0.525714 0 -0.729122 9.4417
623,,-697.624887687,407.725725068,5.610505 0 0 0 9.16047 0 0 -4.580235 7.9332
624,,-697.642907505,208.871268841,3.269908 0 0 0 7.209209 -1.110088 0 -1.545094 9.098362
625,,-697.639683027,272.279523759,6.275413 0 0 0 6.396202 0.174953 0 -0.410453 6.772221
626,,-697.6106577,484.605826323,6.587168 0 0 3.293584 9.220421 0.493562 3.293584 4.234347 8.20549
627,,-697.577051034,252.194876572,5.374076 0 0 2.687038 7.214335 0.04557 2.687038 3.079353 6.524284
628,,-697.630655582,267.431097335,3.294336 0 0 0 6.554861 -0.765328 0 -1.743724 12.588151
629,,-697.625760487,409.728669103,6.518062 0 0 3.259031 8.023819 0.671732 3.259031 1.312816 7.944143
630,,-697.582824113,265.979035353,3.64905 0.231365 -0.066499 1.448071 7.071624 -0.357367 1.706733 2.271041 10.309306
631,,-697.641132788,279.650548399,4.492188 -1.062454 -0.316486 1.079205 4.488193 -0.316486 1.999703 1.229578 12.896762
632,,-697.545487476,570.860639217,6.157724 0 0 -3.078862 5.332746 0 0 0 17.384371
633,,-697.009589384,206.730082329,5.907408 0 -0.285157 2.953704 5.671576 -0.142579 1.510858 0 6.097322
634,,-696.930278424,156.842880853,4.672061 0.189152 0 -0.453389 4.653856 0 -2.109336 -2.421504 7.185116
635,,-697.545822863,253.551058715,3.651581 0 0 0 5.783594 0 0 0 12.005678
636,,-697.642236708,275.873333408,7.236102 -0.744303 0.061673 -3.726968 6.246989 -0.061673 -1.799116 -2.722933 6.501367
637,,-697.625042186,401.142091723,5.931758 0 0 0 6.584007 0 0 0 10.271279
638,,-697.601243146,191.349273094,5.7411 -1.408182 0 -1.652235 5.675678 0 -2.044433 -2.133748 6.323926
639,,-697.39300118,164.559760598,5.536125 0.057789 0.267665 0.122663 5.33752 -0.024039 1.991899 0.203719 5.665628
640,,-697.581970299,258.758596333,3.96462 0.175449 0 -0.235997 5.339202 0 0 0 12.200235
641,,-697.552049678,252.529610804,3.686711 0 0 0 5.860612 0 0 0 11.687732
642,,-697.533882577,195.368301576,4.66441 0.321814 0 -0.320932 4.664471 0 -2.171739 -2.493142 8.937134
643,,-697.576429884,319.034865099,6.595544 0 0 0 6.954946 0 0 0 6.954946
644,,-697.493985916,284.639103207,6.308572 0 0 0 6.717099 0 0 0 6.717099
645,,-697.018219752,212.814700602,5.978042 0 0 0 5.796917 0.122218 0 -1.023165 6.11952
646,,-697.539852224,354.256289676,5.978139 0 0 0 10.627449 0 -2.989069 -5.313724 5.575997
647,,-697.610367908,265.029265461,7.580277 0.441189 0.313072 4.120587 6.377775 0.313072 4.120587 2.401373 5.916708
648,,-697.509932121,244.784863304,6.410877 -0.835591 0 -3.349325 5.52988 0 0 0 7.496616
649,,-697.553747967,209.040899448,4.886003 0 0 0 4.886003 0 0 0 8.756364
650,,-697.602560647,276.55489751,6.992601 1.224513 0.473008 -2.492679 7.12163 -0.320081 -1.170068 -4.341188 5.236468
651,,-695.99690034,164.639972883,5.550301 0 0.035071 0 5.587385 0 -2.512606 0 5.293092
652,,-697.489839131,254.318984742,3.829697 0.062709 -0.078316 1.594641 6.185341 0.132901 1.368619 2.569852 10.822185
653,,-697.525163086,230.433051497,6.135234 0.505778 0.528234 0.250066 6.150965 0.528234 0.250066 0.260697 6.168099
654,,-697.60925039,407.697432477,5.982408 0 0 -2.991204 5.180918 0 0 0 13.153921
655,,-697.614025472,387.647517838,5.754819 0 0 0 6.541935 0 0 0 10.296725
656,,-697.21303458,417.698083394,5.607067 0.100854 0 -2.890876 4.805435 0 0 0 15.336276
657,,-697.475086118,309.354430059,6.049024 0 0 -3.024512 5.238608 0 0 0 9.762367
658,,-697.640841076,277.258934057,6.469641 0 -0.931197 3.234821 6.537329 -0.465598 0.940991 0 6.420048
659,,-697.637568645,210.764928174,4.599599 -0.015614 0.25221 0.042343 6.56021 -0.175829 1.927415 0.129784 7.086738
660,,-697.62034277,231.102318234,6.213161 0.998049 1.042362 0.738669 6.249307 1.042362 0.738669 0.77007 6.288668
661,,-697.500529852,189.834368711,4.775243 0.320173 0 -0.337757 4.774032 0 -2.218743 -2.547102 8.287791
662,,-696.274499549,299.772169516,7.307172 -0.038235 -0.064758 -2.583238 6.83543 0.064758 -2.583238 -3.244818 6.016515
663,,-697.431657696,308.834515662,6.98043 -0.220272 0 -3.312358 6.148431 0 0 0 7.320249
664,,-697.567709534,253.980452383,4.167874 0 1.303374 0 6.418387 0 -2.866551 0 8.597806
665,,-697.604352507,277.920922698,4.961268 0 0.310079 0 6.469427 0 -0.435237 0 8.631698
666,,-697.560257191,355.807607475,4.525963 0 -0.309006 2.262981 6.101345 -0.154503 -0.917381 0 12.947462
667,,-697.634871561,272.643289995,6.45345 -0.482442 -0.420022 0.554078 6.447695 -0.420022 0.554078 0.471666 6.444123
668,,-696.888541421,384.822925207,5.449327 0.097241 0 -2.808876 4.670635 0 0 0 14.959129
669,,-697.536918704,296.829177746,7.062521 0.03273 0.025142 2.484163 6.611294 0.025142 2.484163 1.728856 6.381293
670,,-697.493415801,394.942559141,4.877512 0 0 0 7.6959 0 0 -3.84795 10.521464
671,,-697.672225095,288.933680379,6.522829 0 0 0 6.515133 0.154773 0 -0.181795 6.794585
672,,-697.610716453,400.01179525,5.960329 0 0 -2.980165 5.161797 0 0 0 13.001745
673,,-697.625575288,268.520194925,4.614559 0.184027 -0.456075 2.209911 6.26246 -0.764408 0.844467 1.244925 9.233898
674,,-697.533824846,199.264654274,4.740026 0.354672 0 -0.298754 4.743878 0 -2.220636 -2.549275 8.820117
675,,-697.624978665,400.975101389,5.925513 0 0 0 6.585644 0 0 0 10.275269
676,,-697.553261363,269.435014934,6.527914 0 0 0 6.527914 0 -3.263957 -3.263957 6.322738
677,,-697.431462316,309.183324202,6.984976 -0.219883 0 -3.314039 6.152673 0 0 0 7.318369
678,,-697.55914593,509.592585857,8.948602 -0.335468 -0.509583 -4.180513 7.919174 0.509583 -4.180513 -2.662363 7.475615
679,,-697.643261572,278.634990413,3.266739 -0.035518 -0.081969 0.023044 6.554207 0.152159 0.331477 2.999586 13.074876
680,,-697.584731252,213.810347114,6.019428 0.78634 0.821253 0.535204 6.046933 0.821253 0.535204 0.557956 6.076886
681,,-697.566290996,383.242578459,7.250781 -0.886637 0 -3.574695 6.370361 0 0 0 8.908343
682,,-697.533439266,251.856166644,4.220481 -0.872166 -0.195481 1.126392 4.159853 -0.195481 1.944583 1.195686 13.443034
683,,-696.893211669,318.059098165,5.618218 0 0 -2.809109 4.86552 0 0 0 11.635364
684,,-697.551199793,250.266423927,3.661532 0 0 0 5.843136 0 0 0 11.697519
685,,-697.640952353,284.804947857,4.66976 -0.308107 0.032897 -1.49608 6.904338 -0.536908 0.068411 -2.334898 9.142305
686,,-697.312382394,261.98526052,5.677796 0 0 2.838898 6.800308 0.107546 2.838898 0.369197 6.79113
687,,-697.608509554,272.811204752,4.628757 -0.20282 -0.234986 -2.00256 7.917432 -0.492015 -2.00256 -1.643869 7.760509
688,,-697.623779353,399.155418564,5.856674 0 0 0 6.576563 0 0 0 10.363155
689,,-697.677714627,219.218802099,6.583203 -0.150219 0.441595 -3.410531 7.6813 0.064974 -0.336761 -1.564544 4.296208
690,,-697.560050935,477.429888454,8.249216 0.90898 0.790184 2.230428 7.99381 0.790184 2.230428 1.894819 7.80609
691,,-697.670412732,287.889069092,4.666186 0 0.253995 0 6.49382 0 -0.358499 0 9.481345
692,,-697.611162785,263.247682098,4.164361 0 1.458005 0 6.46332 0 -3.152979 0 8.676583
693,,-697.587957828,476.155486687,8.348038 0.091827 0.069834 3.128714 7.740111 0.069834 3.128714 2.13509 7.440134
694,,-697.622781252,276.133825642,6.590734 0 0 0 6.2583 0.357983 0 0.173646 6.704607
695,,-697.641374499,278.482028922,4.236318 0 1.79513 0 6.532307 0 -3.624318 0 8.527541
696,,-697.540829985,467.32236732,8.210074 -0.047107 -0.035824 2.949046 7.662288 -0.035824 2.949046 2.012481 7.393366
697,,-697.640141358,278.264037049,6.498783 0 0 0 6.498783 0 -3.249392 -3.249392 6.588598
698,,-697.614090737,479.046717846,6.57281 1e-06 0 3.286404 9.177423 0.149011 3.286405 4.464921 8.01406
699,,-697.368367654,170.101668488,3.162791 0 0 0 5.487801 0 0 0 9.800308
700,,-697.492085794,464.013623856,8.322423 0.162869 0.12386 3.185529 7.690361 0.12386 3.185529 2.173861 7.377759
701,,-697.441285373,231.991254513,4.149366 -0.753251 -0.153977 1.200415 4.042726 -0.153977 1.839497 1.13107 13.016558
702,,-697.56743845,381.170567008,7.240808 -0.87002 0 -3.555536 6.367448 0 0 0 8.861942
703,,-697.59084557,258.938918424,6.769768 -1.041919 0 -3.682835 5.775126 0 0 0 7.3439
704,,-697.524370476,237.65896824,3.227727 -0.292214 0 -1.21137 6.49964 0 0 0 11.522812
705,,-697.622459746,266.812003215,6.58027 -1e-06 -0.011604 1e-06 6.861164 -3e-06 -2.923284 -3.430579 5.914835
706,,-697.561515569,478.493849602,8.271031 0.944228 0.820825 2.268739 8.009641 0.820826 2.268739 1.927365 7.817503
707,,-697.550650077,205.23068756,6.225216 -0.700593 -0.790525 -1.364462 6.114114 -0.790525 -1.364462 -1.519629 5.974784
708,,-697.677564786,292.426946275,4.562344 -1.014448 -0.390556 1.153705 4.529133 -0.390556 1.880244 1.156125 13.136352
709,,-697.644785311,207.223256998,4.702123 0 0 -2.351062 4.072158 0 0 0 10.822308
710,,-697.277441391,316.732291474,4.180323 0 0 0 8.187931 0 0 -4.093966 9.253549
711,,-697.231056404,168.030978067,4.720949 0.230722 0 -0.418917 4.707983 0 -2.151016 -2.469352 7.527325
712,,-697.622306416,428.851628773,6.111915 0 0 0 9.001182 0 0 -4.500591 7.795253
713,,-697.622094912,231.634136751,3.278963 0 0 0 9.031663 0 0 -4.515831 7.821649
714,,-697.641081057,414.448911517,5.631383 0 0 0 9.218551 0 0 -4.609276 7.983499
715,,-697.627809368,276.508313996,6.512969 -0.422422 -0.354883 0.944313 6.457978 -0.354883 0.944313 0.76428 6.422405
716,,-697.608993415,419.766146595,6.531462 0 0 3.265731 8.169226 0.336957 3.265731 1.924309 7.946498
717,,-697.558310057,248.492276653,6.602388 0 0.356742 0 6.583697 0 -3.558715 0 5.52437
718,,-697.624450683,264.986862402,6.556228 -0.100442 -0.140907 -3.12062 6.846349 -0.581711 -3.12062 -2.782876 6.282236
719,,-697.622351167,266.72758415,6.578274 -1e-06 -0.008466 1e-06 6.854635 -3e-06 -2.918859 -3.427315 5.918988
720,,-697.559964061,507.246740397,8.941278 -0.348402 -0.529229 -4.188995 7.906968 0.529229 -4.188995 -2.639492 7.47217
721,,-697.63912352,281.236076314,5.706792 -0.407198 0.260123 2.328653 5.225961 0.260123 -0.435353 -0.261076 9.111254
722,,-697.536836674,183.997960256,6.115348 0 0 -3.057674 5.296047 0 0 0 5.681199
723,,-697.339016517,217.340627632,4.880952 0 0 0 7.170557 0 0 -3.585278 6.209884
724,,-697.29615757,278.968735742,6.60942 0 0 3.30471 6.487579 -0.427854 3.30471 0.784053 6.454224
725,,-697.537147177,368.870559381,7.747385 0.275703 0 -2.074064 7.469688 0 0 0 6.311697
726,,-697.641413173,347.307932953,7.298316 0 0 0 7.298316 0 0 0 6.520327
727,,-697.617304522,275.639103504,3.327464 -0.006284 -0.007462 -1.714731 9.089135 0.59722 -1.714731 -0.957625 9.058256
728,,-697.557351696,251.075450879,5.699701 0 0 0 5.725873 0 0 0 7.693261
729,,-697.455930654,488.068091305,8.31796 -0.162542 0 -2.11879 8.045223 0 -3.099585 -3.94134 7.331052
730,,-697.555791878,266.17633103,6.446078 -0.167022 -0.149272 0.646403 6.41576 -0.149272 0.646403 0.569505 6.392177
731,,-697.544427302,193.072703796,5.723297 0 1.397178 0 6.008902 0 -4.007335 0 4.635816
732,,-697.526003796,191.804858282,5.892587 0.382391 0.34732 1.005286 5.818781 0.34732 1.005286 0.903749 5.758652
733,,-697.555351842,431.400496577,8.183084 0.683918 0.736523 -3.340176 7.501589 -0.736523 -3.036712 -3.72874 6.696862
734,,-697.501997431,433.894155987,8.004259 0.942298 0.82266 2.179454 7.759257 0.82266 2.179454 1.862252 7.577259
735,,-697.37629961,351.935820019,6.126054 0 0 -3.063027 5.305319 0 0 0 10.828571
736,,-697.53597895,397.2990724,4.626037 0.801771 0 -0.800511 4.626256 0 0 0 18.023773
737,,-697.576774484,305.308497307,5.594279 0 0 0 7.938383 0 0 -3.969192 6.874842
738,,-697.508845234,253.150305172,7.144401 0.43174 0.320093 3.320375 6.34066 0.320093 3.320375 2.148819 5.974027
739,,-697.546538203,361.890754867,6.470851 0.370496 0.443374 0.920498 7.282936 -0.306322 2.913576 2.984127 7.790761
740,,-697.557543965,251.431918064,5.696335 0 0 0 5.723987 0 0 0 7.711276
741,,-696.604436111,288.74305807,4.247394 0.628191 0 -0.836657 4.211293 0 0 0 15.681818
742,,-697.483953993,226.047577523,3.287848 -0.024721 0 -1.62911 6.307516 0 0 0 10.921291
743,,-697.515693052,426.234978695,7.966486 0.95784 0.836228 2.188912 7.719522 0.836228 2.188912 1.870333 7.536056
