frame,energy_per_atom,REF_energy_per_atom,volume,lattice
63,,-689.637850624,129.940839788,5.47934 0 0 -0.995472 5.388154 0 -2.241937 -2.694081 4.401264
64,,-690.819071652,170.66260392,3.32509 0 0 0 6.38443 0 0 0 8.0392
65,,-692.289570906,149.130560394,4.99932 0 0 0 5.33578 0 -2.499659 0 5.590592
66,,-687.998214339,302.92891335,6.94478 0 0 1.890957 6.682384 0 1.890957 1.430113 6.527559
67,,-691.711580158,377.229053866,5.6371 0 0 -2.81855 4.881872 0 0 0 13.70765
68,,-690.364742031,205.588634579,3.1378 0 0 -1.000156 4.045975 0 0 0 16.19387
69,,-686.344703959,87.2197171016,3.99429 0 0 0 5.02137 0 0 -2.510685 4.348634
70,,-686.9118102,158.680892143,2.97001 0 0 0.119738 6.926895 0 0.714268 1.870508 7.713085
71,,-686.724303232,147.363245189,5.30178 0 0 -2.65089 4.591476 0 0 0 6.05362
72,,-689.351779219,198.507508543,5.83718 0 0 -2.91859 5.055146 0 0 0 6.72729
73,,-689.683148086,229.786202628,2.83586 0 0 -0.228577 8.983272 0 0 0 9.01996
74,,-687.44493927,184.193314471,5.92092 0 0 1.760111 5.653256 0 1.760111 1.295446 5.502829
75,,-690.720195347,116.276597716,4.7736 0 0 0 4.8314 0 -2.386799 -2.4157 5.041657
76,,-689.256351272,298.703323191,5.33401 0 0 0 7.37991 0 -2.667006 0 7.588137
77,,-688.273518975,133.422376705,5.08986 0 0 0 5.50169 0 0 -2.750845 4.764603
78,,-692.806521853,156.419282424,3.55996 0 0 0 6.69923 0 0 -1.364784 6.558738
79,,-692.5531435,255.113471296,3.38036 0 0 0 9.33512 0 0 -4.66756 8.084451
80,,-686.233046105,249.960356868,5.26554 0 0 -1.570794 5.235058 0 0 0 9.0679
81,,-686.183978395,231.145406503,5.62772 0 0 -0.083176 5.627105 0 -2.772272 -2.813553 7.299074
82,,-690.638850471,149.174614828,5.49806 0 0 -2.74903 4.76146 0 0 0 5.6983
83,,-690.533970996,151.976544658,5.47214 0 0 2.73607 4.739012 0 2.736073 1.579672 5.860458
84,,-692.242647321,254.0875039,6.71171 0 0 -0.57746 6.686822 0 -3.067125 -3.343411 5.661485
85,,-691.123388895,191.711422473,4.85898 0 0 -1.001492 6.286314 0 -1.001492 -0.353895 6.276345
86,,-690.084951738,109.375776873,3.55773 0 0 0 3.98271 0 0 0 7.71915
87,,-688.509494193,214.488878072,4.29123 0 0 0 7.51678 0 0 -3.758392 6.649533
88,,-690.968183852,341.870788948,5.19514 0 0 -1.09817 8.579211 0 -1.09817 -3.842914 7.670389
89,,-690.641628312,431.158632938,6.43061 0 0 2.510791 6.722375 0 2.320429 0.774754 9.973835
90,,-688.726121028,373.770010114,3.4548 0 0 0 10.84413 0 0 -5.422065 9.976698
91,,-697.524525293,263.277662302,6.304942 0 0 0 6.26249 0.585779 0 -2.627526 6.422078
92,,-697.322348712,356.136581166,8.201584 0 0 4.100792 7.10278 0 4.100792 2.367593 6.113508
