frame,atom,fx,fy,fz,REF_fx,REF_fy,REF_fz
4,1,-1.73606877,5.01824802,3.58002399,-2.44754,5.34105,3.69248
4,2,5.27417831,-3.53301768,-0.84456868,5.87402,-3.43924,-1.34871
4,3,1.9358705,-0.99368864,-6.02311689,2.22344,-1.64484,-6.36417
4,4,-3.74253482,5.412613,1.18930628,-3.37051,4.76729,1.2329
4,5,-3.44725776,-0.89840049,5.65933844,-3.18015,-0.65439,5.00657
4,6,0.68874953,-3.8230619,-5.44311348,0.79241,-3.3599,-4.86729
4,7,6.5010486,-0.69142444,-1.40535503,5.75825,-0.75298,-1.37223
4,8,-0.16696341,0.10486757,0.15909749,-0.47513,0.29832,0.45255
4,9,0.16699865,-0.10491935,-0.15906367,0.47513,-0.2983,-0.45257
4,10,1.969e-05,3.99e-06,-7.31e-06,0.0,-0.0,-0.0
5,0,-5.08334626,14.67464277,9.02377488,-4.43783,15.0339,8.94568
5,1,-5.08299248,0.47748003,-17.22052934,-4.43719,0.23412,-17.49373
5,2,-5.08328706,-15.15206515,8.19655764,-4.43878,-15.2644,8.5474
5,3,6.68717426,-1.55370563,-2.3532085,7.13434,-1.66329,-1.90381
5,4,6.68675916,-1.26078615,2.52221805,7.12972,-0.81644,2.39228
5,5,6.68720838,2.81474598,-0.16918326,7.13275,2.48008,-0.48978
5,6,-11.39129578,-12.794696,-5.45947198,-11.53177,-13.11091,-5.26302
5,7,-11.39103167,1.66929775,13.81048587,-11.53313,1.99609,13.98816
5,8,-11.39085004,11.12520525,-8.35084192,-11.53082,11.11232,-8.72486
5,9,11.7727179,-8.69010798,2.31984833,10.94455,-8.32777,1.75663
5,10,11.77264695,6.35420111,6.36597716,10.94584,5.68173,6.32921
5,11,11.7727398,2.33602384,-8.68587557,10.94518,2.64102,-8.08789
5,12,-1.9854489,8.10547869,-10.62115657,-2.10955,8.6504,-11.69078
5,13,-1.98562672,-13.25107633,-1.7088879,-2.10746,-14.45036,-1.64377
5,14,-1.98536752,5.14536181,12.33029312,-2.10586,5.8035,13.33828
6,0,0.12684162,-14.25408881,6.26626184,-0.53468,-14.63344,6.21157
6,1,-13.70303903,6.95306047,2.51876815,-14.24521,6.78656,2.00615
6,2,3.04276059,-0.71136823,-15.25452984,2.73771,-1.31313,-15.61368
6,3,13.60367766,7.49461769,-3.20110809,12.85746,6.98461,-2.76142
6,4,10.85352262,-0.78864401,11.53424117,10.16327,-0.48152,10.87196
6,5,2.13722857,13.52349404,8.00044424,2.24896,12.71864,7.40957
6,6,-1.51442982,-1.69229304,-3.53100198,-1.45099,-1.63469,-3.99956
6,7,-2.03518703,-3.66413698,-0.24122638,-1.96273,-4.11247,-0.0977
6,8,-4.0743651,-0.44287754,-0.91033826,-4.48714,-0.26275,-0.75538
6,9,-11.14194481,-7.89432006,10.02130892,-10.84373,-8.739,10.02925
6,10,-10.58220585,7.97819558,-10.54808871,-11.31648,8.09381,-10.04837
6,11,4.86371874,-12.90874281,-9.82856435,4.77926,-12.57588,-10.65595
6,12,-4.48693965,0.905276,17.5406064,-4.10357,0.86077,17.1502
6,13,-0.3253734,16.18494549,-8.15896934,-0.26589,15.88356,-7.704
6,14,15.51071746,-8.95226105,-2.81078621,15.23619,-8.47842,-2.77206
6,15,11.78574455,-8.88722598,5.49727105,12.50268,-8.52546,5.7954
6,16,-5.41857963,8.2669079,12.26382736,-4.87856,8.68349,12.78216
6,17,6.52041942,10.42333472,-9.84593826,7.06607,11.01618,-9.55514
6,18,-4.99579432,0.44607657,5.12236793,-5.28643,1.52342,5.48869
6,19,-0.90391408,3.9676219,-5.901972,0.05693,4.20638,-6.53417
6,20,3.58257088,-6.17629453,-0.64325885,4.06895,-6.61254,0.33271
6,21,-18.7611205,-14.27111124,-11.52263435,-18.59468,-14.14426,-11.42046
6,22,5.91569111,4.49983391,3.63331957,6.2526,4.75614,3.84023
7,0,12.35856259,0.56914231,-0.00493097,12.06996,0.24499,-0.00536
7,1,-12.3585626,-0.56914232,-0.00496173,-12.07002,-0.24497,-0.0054
